batch_size,sequence_length,decode_steps,warmup_steps,status,kv_quantization,state_quantization,prefill_latency_s,decode_total_s,decode_ms_per_step,decode_ms_per_token,tokens_per_s,step_p50_ms,step_p90_ms,peak_memory_gib,error
8,2048,32,4,ok,none,none,7.637418071273714,1.0089168609119952,31.52865190349985,3.941081487937481,253.73745837550248,31.314639374613762,32.211521081626415,28.260191440582275,
16,2048,32,4,ok,none,none,2.6693602916784585,1.1162756946869195,34.88361545896623,2.1802259661853896,458.6680534539454,34.79554201476276,35.055106459185474,41.399109840393066,
32,2048,32,4,ok,none,none,5.753083115909249,1.348868074361235,42.15212732378859,1.3172539788683935,759.1550422638046,42.13657812215388,42.428042739629745,67.67365026473999,
8,2048,32,4,ok,int4,none,1.3344629062339664,1.0542599488981068,32.94562340306584,4.11820292538323,242.8243624995586,32.83818229101598,33.17866357974708,28.059996128082275,
16,2048,32,4,ok,int4,none,2.6876164488494396,1.1400835318490863,35.627610370283946,2.2267256481427466,449.0899006054355,35.53084097802639,35.99221562035382,41.034852027893066,
32,2048,32,4,ok,int4,none,5.860901619307697,1.2927780225872993,40.399313205853105,1.2624785376829095,792.0926733814821,40.30906595289707,40.773094305768616,66.95526647567749,
8,2048,32,4,ok,none,mx8,1.3615988781675696,1.484345817938447,46.38580681057647,5.798225851322059,172.46654849982932,46.270238468423486,46.86763840727508,28.241636753082275,
16,2048,32,4,ok,none,mx8,2.7118535712361336,2.214387380052358,69.19960562663618,4.3249753516647615,231.21519053630718,69.06188232824206,69.50175259262323,41.399842262268066,
32,2048,32,4,ok,none,mx8,5.831072765868157,3.6662828638218343,114.57133949443232,3.58035435920101,279.301962787605,114.53907028771937,114.89613396115601,67.67316198348999,
8,2048,32,4,ok,int4,mx8,1.355901347938925,1.4558548829518259,45.49546509224456,5.68693313653057,175.84170166805768,45.402016723528504,45.57721917517483,28.060972690582275,
16,2048,32,4,ok,int4,mx8,2.732926232740283,2.1631777309812605,67.59930409316439,4.2249565058227745,236.688827120898,67.58470251224935,67.67655946314335,41.032776832580566,
32,2048,32,4,ok,int4,mx8,5.957980774808675,3.5405755429528654,110.64298571727704,3.4575933036649076,289.21851478022035,110.54645199328661,110.95790141262113,66.94794225692749,
