metric,mean,min,max,stddev,n
duration_ms,1.577448,1.570976,1.58352,0.004619894371086897,4
long_scoreboard_warps_per_issue_active,3.2025,3.2,3.21,0.004330127018922101,4
lg_throttle_warps_per_issue_active,0.515,0.51,0.52,0.0050000000000000044,4
integer_thread_inst_sum,811198346.0,810159260.0,813304200.0,1233564.5011704902,4
integer_thread_inst_per_ms,514253547.9930401,511912501.26300895,517706317.60128736,2189836.69294414,4
tensor_pipe_active_pct_peak_active,0.0,0.0,0.0,0.0,4
tensor_pipe_active_pct_peak_elapsed,0.0,0.0,0.0,0.0,4
local_load_bytes,0.0,0.0,0.0,0.0,4
local_store_bytes,0.0,0.0,0.0,0.0,4
registers_per_thread,235.0,235.0,235.0,0.0,4
registers_per_thread_allocated,30720.0,30720.0,30720.0,0.0,4
static_shared_mem_bytes,0.0,0.0,0.0,0.0,4
occupancy_limit_registers_blocks,2.0,2.0,2.0,0.0,4
occupancy_limit_shared_mem_blocks,4.0,4.0,4.0,0.0,4
waves_per_multiprocessor,1.19,1.19,1.19,0.0,4
warps_active_pct_peak_active,11.434999999999999,11.39,11.45,0.025980762113532604,4
long_scoreboard_pct_per_warp_active,37.285,37.13,37.58,0.18172781845386113,4
lg_throttle_pct_per_warp_active,5.9925,5.91,6.05,0.05402545696243569,4
thread_inst_sum,3105783808.0,3105783808.0,3105783808.0,0.0,4
integer_thread_inst_pct_of_thread_inst,26.118957279334236,26.08550079735621,26.18676154808519,0.03971829906489286,4
