mode,category,duration_ms,total_ms,pct_of_mode,baseline_category_ms,delta_vs_baseline_pct
none,gemm_linear,10.883296000000007,20.77628800000001,52.38325537266329,10.883296000000007,0.0
none,memory_copy,4.434336000000001,20.77628800000001,21.343254386924162,4.434336000000001,0.0
none,other,2.036128,20.77628800000001,9.800249207173096,2.036128,0.0
none,elementwise,1.8200959999999984,20.77628800000001,8.760448449694177,1.8200959999999984,0.0
none,attention_baseline_or_sdpa,1.4873599999999998,20.77628800000001,7.158930411438265,1.4873599999999998,0.0
none,norm,0.11507200000000001,20.77628800000001,0.5538621721069709,0.11507200000000001,0.0
kv_int4,gemm_linear,10.888288000000005,22.26489599999998,48.90338585008443,10.883296000000007,0.04586845749668009
kv_int4,kv_int4_decode_attention,6.281696,22.26489599999998,28.21345314166303,,
kv_int4,other,2.080320000000001,22.26489599999998,9.343497494890626,2.036128,2.170394002734635
kv_int4,elementwise,1.805983999999999,22.26489599999998,8.111351609277675,1.8200959999999984,-0.77534371813352
kv_int4,memory_copy,1.051744,22.26489599999998,4.723776836864637,4.434336000000001,-76.28181536085673
kv_int4,norm,0.11465600000000001,22.26489599999998,0.5149631060481941,0.11507200000000001,-0.3615127919911009
kv_int4,kv_int4_pack,0.042207999999999996,22.26489599999998,0.18957196117152325,,
state_mx8,mamba_state_mx8_requantize,23.646752000000003,44.982304000000035,52.56901024900811,,
state_mx8,gemm_linear,10.871711999999999,44.982304000000035,24.16886427160332,10.883296000000007,-0.1064383436783124
state_mx8,memory_copy,4.434624,44.982304000000035,9.858596838436725,4.434336000000001,0.0064947717087609005
state_mx8,elementwise,1.818239999999997,44.982304000000035,4.042122875697954,1.8200959999999984,-0.10197264320131541
state_mx8,mamba_state_mx8_update,1.5976960000000002,44.982304000000035,3.551832293872717,,
state_mx8,attention_baseline_or_sdpa,1.48672,44.982304000000035,3.3051219430645413,1.4873599999999998,-0.0430292598967131
state_mx8,other,1.008992,44.982304000000035,2.243086525759106,2.036128,-50.44555155668012
state_mx8,norm,0.117568,44.982304000000035,0.26136500255744993,0.11507200000000001,2.169076751946606
kv_int4_state_mx8,mamba_state_mx8_requantize,23.738912,46.60988799999992,50.93106424113279,,
kv_int4_state_mx8,gemm_linear,10.908192,46.60988799999992,23.403171447226,10.883296000000007,0.2287542303360389
kv_int4_state_mx8,kv_int4_decode_attention,6.313248,46.60988799999992,13.54486841933628,,
kv_int4_state_mx8,elementwise,1.7698880000000001,46.60988799999992,3.7972371870964445,1.8200959999999984,-2.7585358134954583
kv_int4_state_mx8,mamba_state_mx8_update,1.6149440000000002,46.60988799999992,3.4648098703863073,,
kv_int4_state_mx8,other,1.053024,46.60988799999992,2.2592287713714345,2.036128,-48.28301560609157
kv_int4_state_mx8,memory_copy,1.0527040000000003,46.60988799999992,2.2585422217706297,4.434336000000001,-76.26016612182748
kv_int4_state_mx8,norm,0.11680000000000001,46.60988799999992,0.2505906042940936,0.11507200000000001,1.5016685205784266
kv_int4_state_mx8,kv_int4_pack,0.042176000000000005,46.60988799999992,0.09048723738619599,,
