staging_mode,batch_size,context_length,attn_layer_id,repeat,seq_len,T_stage_ms,stage_target
dequant,8,2048,7,0,2052,5.063680171966553,KV
dequant,8,2048,7,1,2052,0.4044800102710724,KV
dequant,8,2048,7,2,2052,0.4044800102710724,KV
dequant,8,2048,7,3,2052,0.4044800102710724,KV
dequant,8,2048,7,4,2052,0.4044800102710724,KV
dequant,8,2048,7,5,2052,0.4044800102710724,KV
dequant,8,2048,7,6,2052,0.4044800102710724,KV
dequant,8,2048,7,7,2052,0.4044800102710724,KV
dequant,8,2048,7,8,2052,0.4055039882659912,KV
dequant,8,2048,7,9,2052,0.4044800102710724,KV
dequant,8,2048,18,0,2052,0.4065279960632324,KV
dequant,8,2048,18,1,2052,0.4034560024738312,KV
dequant,8,2048,18,2,2052,0.4055039882659912,KV
dequant,8,2048,18,3,2052,0.4044800102710724,KV
dequant,8,2048,18,4,2052,0.4044800102710724,KV
dequant,8,2048,18,5,2052,0.4044800102710724,KV
dequant,8,2048,18,6,2052,0.4044800102710724,KV
dequant,8,2048,18,7,2052,0.4044800102710724,KV
dequant,8,2048,18,8,2052,0.4044800102710724,KV
dequant,8,2048,18,9,2052,0.4044800102710724,KV
dequant,8,2048,29,0,2052,0.4065279960632324,KV
dequant,8,2048,29,1,2052,0.4034560024738312,KV
dequant,8,2048,29,2,2052,0.4044800102710724,KV
dequant,8,2048,29,3,2052,0.4044800102710724,KV
dequant,8,2048,29,4,2052,0.4034560024738312,KV
dequant,8,2048,29,5,2052,0.4044800102710724,KV
dequant,8,2048,29,6,2052,0.4044800102710724,KV
dequant,8,2048,29,7,2052,0.4055039882659912,KV
dequant,8,2048,29,8,2052,0.4044800102710724,KV
dequant,8,2048,29,9,2052,0.4055039882659912,KV
dequant,8,2048,40,0,2052,0.4065279960632324,KV
dequant,8,2048,40,1,2052,0.4044800102710724,KV
dequant,8,2048,40,2,2052,0.4044800102710724,KV
dequant,8,2048,40,3,2052,0.4044800102710724,KV
dequant,8,2048,40,4,2052,0.4044800102710724,KV
dequant,8,2048,40,5,2052,0.4044800102710724,KV
dequant,8,2048,40,6,2052,0.4044800102710724,KV
dequant,8,2048,40,7,2052,0.4044800102710724,KV
dequant,8,2048,40,8,2052,0.4055039882659912,KV
dequant,8,2048,40,9,2052,0.4044800102710724,KV
