layer_idx,ppl,baseline_ppl,delta_ppl,ppl_degradation_pct,elapsed_s,tokens_per_s
0,3.4402581199400446,3.4353844749168307,0.004873645023213857,0.14186607230715076,13.904556358698756,18.411231066703195
2,3.447236803889306,3.4353844749168307,0.011852328972475235,0.345007350967963,7.370333875063807,34.7338403306436
4,3.4465423052531197,3.4353844749168307,0.01115783033628892,0.32479131281395457,7.226482986006886,35.42525464955908
6,3.4420749270422792,3.4353844749168307,0.006690452125448498,0.1947511894024645,7.303576099220663,35.0513223278822
9,3.4446880962899558,3.4353844749168307,0.009303621373125015,0.270817471553908,7.296159443911165,35.08695252180086
11,3.443792195939739,3.4353844749168307,0.008407721022908099,0.2447388664732042,7.292536980006844,35.10438146585302
13,3.4416495720330924,3.4353844749168307,0.006265097116261664,0.18236960555668702,7.311404156964272,35.01379413640462
15,3.4502087882067523,3.4353844749168307,0.014824313289921509,0.43151831761947257,7.3198149600066245,34.973561681369105
17,3.447912745608523,3.4353844749168307,0.012528270691692267,0.3646832191030347,7.313838220201433,35.00214146013055
20,3.4542653530174827,3.4353844749168307,0.018880878100651977,0.549600146315754,7.31570894503966,34.99319094338466
22,3.481223896708397,3.4353844749168307,0.04583942179156608,1.33433163380281,14.00109531590715,18.28428378093742
24,3.4533962397283875,3.4353844749168307,0.018011764811556752,0.5243012810667302,7.451769861858338,34.35425472683052
26,3.4449691889728373,3.4353844749168307,0.009584714056006582,0.2789997488196416,14.069217782933265,18.195752169714943
28,3.464845454918946,3.4353844749168307,0.029460980002115278,0.8575744641457828,7.308457306120545,35.02791208557928
31,3.4460897024686497,3.4353844749168307,0.010705227551818908,0.311616578289331,7.278099807910621,35.17401612461424
33,3.4476837830202367,3.4353844749168307,0.01229930810340596,0.35801838755482596,7.300561358220875,35.065796647504165
35,3.4407107997725377,3.4353844749168307,0.005326324855706943,0.15504304960904935,7.271309425123036,35.20686372051459
37,3.4454886529467754,3.4353844749168307,0.010104178029944677,0.29412073390095994,7.288126551080495,35.12562497450692
39,3.444497852209705,3.4353844749168307,0.009113377292874425,0.2652796902185228,7.278184545692056,35.17360660379599
42,3.444211742914475,3.4353844749168307,0.008827267997644217,0.2569513852698435,7.2554741450585425,35.28370370864776
44,3.4375520544976648,3.4353844749168307,0.0021675795808340226,0.06309569122933123,7.196145621594042,35.57459971791018
46,3.43869877446971,3.4353844749168307,0.0033142995528794295,0.09647536038770443,7.201520179864019,35.548050079175624
48,3.4428671892738905,3.4353844749168307,0.0074827143570597165,0.21781301079091264,14.048372326884419,18.22275165003222
50,3.452280897839526,3.4353844749168307,0.01689642292269511,0.49183499099045846,7.3094346397556365,35.02322855554782
